,Question,choice 1,choice 2,choice 3,choice 4
91,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
92,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
93,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
94,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
95,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
96,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
97,A person lived in my what?,demonstration,conference,building,garage
98,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
99,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
100,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
101,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
102,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
103,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
104,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
105,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
106,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
107,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
108,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
109,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
110,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
111,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
112,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
113,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
114,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
115,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
116,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
117,What type of person typically contracts illness?,hospital,head,sick person,elderly person
118,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
119,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
120,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
121,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
122,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
123,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
124,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
125,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
126,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
127,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
128,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
129,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
130,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
131,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
132,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
133,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
134,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
135,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
136,What is a great place to lay in the sun?,in the basement,west,solar system,beach
137,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
138,The president is the leader of what institution?,walmart,white house,country,corporation
139,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
140,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
141,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
142,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
143,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
144,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
145,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
146,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
147,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
148,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
149,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
150,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
151,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
152,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
153,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
154,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
155,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
156,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
157,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
158,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
159,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
160,What do drugs do?,damage,cloud mind,lower i.q,cause illness
161,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
162,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
163,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
164,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
165,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
166,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
167,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
168,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
169,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
170,Who was the head of the branch yelling at?,owner,foot,subordinate,base
171,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
172,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
173,Where could you see an advertisement while reading news?,television,bus,email,web page
174,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
175,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
176,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
177,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
178,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
179,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
180,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
181,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
182,When you play around with your dog they will have?,alive,health,fun,playing dead
183,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
184,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
185,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
186,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
187,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
188,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
189,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
190,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
191,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
192,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
193,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
194,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
195,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
196,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
197,A person lived in my what?,demonstration,conference,building,garage
198,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
199,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
200,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
201,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
202,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
203,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
204,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
205,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
206,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
207,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
208,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
209,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
210,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
211,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
212,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
213,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
214,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
215,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
216,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
217,What type of person typically contracts illness?,hospital,head,sick person,elderly person
218,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
219,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
220,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
221,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
222,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
223,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
224,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
225,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
226,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
227,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
228,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
229,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
230,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
231,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
232,Where in Southern Europe would you find many canals?,michigan,new york,amsterdam,venice
233,What would a camper need to do before he or she can start cooking food?,make breakfast,go hiking,pack or bag,light fire
234,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled,ripped,saturated with water,one dimensional
235,"Mark's semen was very thick, but after his vasectomy it was also what?",blank,sparse,thin,clear
236,What is a great place to lay in the sun?,in the basement,west,solar system,beach
237,Where would you find a seafood restaurant in the east coast of North America?,maine,boston,beach town,coastal cities
238,The president is the leader of what institution?,walmart,white house,country,corporation
239,Sitting to close while watching TV can cause what sort of pain?,brain problems,laziness,get fat,headache
240,Where is a bald eagle safe?,pine tree,open country,in washington,wildlife refuge
241,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly,captive,contained,paying
242,What kind of driving leads to accidents?,stressful,dangerous,fun,illegal
243,What is eating too much dinner likely to result in?,tiredness,living longer,stomach ache,illness
244,What is a person chatting with friends likely hoping to accomplish?,gathering of information,communication,feel relaxed,kill boredom
245,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland,snow,windowsill,street
246,"A fox was thirsty searching for water during the drought, where was he?",painting,hen house,california,virginia
247,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips
248,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near,closeness,here,proximity
249,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight,late for work,heartburn,bad breath
250,"The evacuation became mandatory, so what came on the TV?",advisory,mandate,soap opera,elective
251,The person gave a good hands on what to show how to do the work?,demonstration,garage,building,barn
252,Where would you see some people doing jumping jacks?,military base,opera,water fountain,bus stop
253,"The body guard was good at his duties, he made the person who hired him what?",better job,irritated,feel safe,save money
254,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication,overthinking,frustration,misunderstandings
255,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail,going to prison,beat him up,get arrested
256,Where is there usually a fiddle playing?,music store,dance hall,orchestra,symphony
257,What is the only was to recover from exhaustion?,mediate,have rest,stay in bed,run out of steam
258,What would you do if you want to be able to earn money?,apply for job,stand in line,take care of proposals,pass course
259,What is a grumpy person likely to have?,headache,understand themselves,compliments,own house
260,What do drugs do?,damage,cloud mind,lower i.q,cause illness
261,A beaver can destroy a machines functionality if they build their dam in this?,strip club,pocket,millpond,ontario
262,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement,suicide,examine thing,commit murder
263,Where could a fungus grow and not be disturbed by sunlight?,under rocks,manhattan,toenails,grocery store
264,Can you name a good reason for attending school?,get smart,boredom,colds and flu,taking tests
265,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama,tennessee,violin case,music store
266,"Though she made the cut years ago, its figurative scars would never what?",joining,put together,stitch,heal
267,What does sex often make happen in people?,making love,feel good,happyness,wonderful thing
268,Where would you see people in uniform playing with a ball?,hole,television,sporting goods store,pool table
269,What kind of place could have a seafood restaurant?,new york,coastal cities,city,coastal cities
270,Who was the head of the branch yelling at?,owner,foot,subordinate,base
271,"He made another call, he did this all day hoping people would what well to his offer?",hang up,respond,contact,answer
272,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union,mall,department store,library
273,Where could you see an advertisement while reading news?,television,bus,email,web page
274,What is required to be good at playing tennis?,tennis racket,skill,competition,tennis court
275,What state is the John Davis  Lodge toll road found in?,new jersey,eastern united states,good repair,connecticut
276,"The man went to clown college, he had always want to run away with the what?",circus,carnival,surprise,spoons
277,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight,augment,dispare,make larger
278,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death,coma,peace,forgetfulness
279,"If someone is aloof and self-important, what is their experience when meeting people?",stress,nervousness,smile,being bored
280,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory,construction site,engine,insides of skyscraper's walls
281,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static,train of thought.,progress,transfer of information
282,When you play around with your dog they will have?,alive,health,fun,playing dead
283,Where would a person keep a book while it's being read?,closet,library of congress,classroom,in bed
284,"The student needed to  get some new pencils, where did he go?",store,classroom,backpack,cabinet
285,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire,money,time,credit
286,How does getting paid feel?,income tax,satisfaction,sorrow,ocean
287,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go,unlikely,unable,cant do
288,Where can meat last a long time?,backery,ham sandwich,fridge,butcher shop
289,What group of musicians will include someone playing the cello?,ocean,symphony,band,music store
290,Where do bees congregate with red flowerS?,trash can,honey,bouquet of flowers,rose garden
291,What is someone who gets angry after getting drunk likely to participate in?,violence,falling down,vomiting,vomiting
292,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy,anxiety,knowlege,falling down
293,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality,imagination,dreamworker,nightmare
294,The city's community garden was demolished for yet another what?,wasteland,ocean,desert,parking lot
295,WHat do cats get into when they are ripping things apart?,dog's mouth,floor,garage,trouble
296,What is a good result of losing weight?,increased energy,healthier,loose skin,beauty
297,A person lived in my what?,demonstration,conference,building,garage
298,"The skin was cut while chopping onions, where was this skin likely cut?",good health,finger,meat,body
299,What might you feel after doing housework for hours?,anger,not boredom,stress,boredom
300,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at
301,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment
302,To locate a choker not located in a jewelry box or boutique where would you go?,jewelry store,neck,jewlery box,jewelry box
303,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas
304,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook
305,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television
306,"The only baggage the woman checked was a drawstring bag, where was she heading with it?",garbage can,military,jewelry store,safe
307,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge
308,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer
309,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector
310,Where do you put your grapes just before checking out?,mouth,grocery cart,super market,fruit basket
311,"Before getting a divorce, what did the wife feel who was doing all the work?",harder,anguish,bitterness,tears
312,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym
313,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation
314,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room
315,"Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?",low lands,new york,forest,louisiana
316,What is it called when you slowly cook using a grill?,backyard,restaurant,crockpot,neighbor's house
317,What type of person typically contracts illness?,hospital,head,sick person,elderly person
318,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court
319,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick
320,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting
321,Which entrance would you use if you do not want to use the back entrance?,side,main,anterior,current
322,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network
323,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat
324,"Sean was lying about the body, but he was very scared.  He constantly worried about what?",the reward money,hurt feelings,being found out,problems
325,"The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?",park,make time for,receive instructions,take money
326,"Though he could've kept going his body appreciated the rest, it had been constantly what during the day?",walk,lay down,working,moving
327,Too many people want exotic snakes.  The demand is driving what to carry them?,ditch,shop,north america,pet shops
328,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time
329,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that
330,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points
331,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood,subdivision,city,suburbs
