,Question
311,In how many directions can the adult dragonfly propel itself?
312,What is the hobby of seeking out dragonflies and damselflies called?
313,What is the hobby of seeking out dragonflies and damselflies called?
314,In what country are dragonflies used as a food source?
315,In what country are dragonflies used as a food source?
316,Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?
317,Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?
318,Is the dragonfly associated with late summer as well as early autumn?
319,Does Exposure to air cause the larva to begin breathing?
320,Is the drum a member of the percussion group?
321,Is the drum a member of the percussion group?
322,Does each type of drum head serve its own musical purpose?
323,Does each type of drum head serve its own musical purpose?
324,Is the Aburukuwa a type of drum?
325,Is the Aburukuwa a type of drum?
326,How long has the basic design of the drum remained unchanged?
327,How long has the basic design of the drum remained unchanged?
328,What is the second biggest factor affecting the sound produced by a drum?
329,What is the second biggest factor affecting the sound produced by a drum?
330,By what name are drums classified as under the percussion group?
331,By what name are drums classified as under the percussion group?
332,How do rock and roll drummers like their drumheads?
333,How do rock and roll drummers like their drumheads?
334,Whare is the name for drums that have a S10_set of wires held across some of all of the drum heads?
335,Had the drums been used in Sri Lanka since Before Christ?
336,Had the drums been used in Sri Lanka since Before Christ?
337,Is the drum a member of the percussion group?
338,Is the drum a member of the percussion group?
339,Are drums often used in music therapy?
340,Are drums often used in music therapy?
341,Do drums consist of at least eight membranes?
342,Do drums consist of at least eight membranes?
343,What has the most effect on how a drum sounds?
344,What has the most effect on how a drum sounds?
345,Who constructed a kit using diatonic and chromatically tuned drums?
346,Who constructed a kit using diatonic and chromatically tuned drums?
347,Drums are usually played by what?
348,Has the design of drums changed recently?
349,Has the design of drums changed recently?
350,Can some cylindrical shell drums have no drum heads?
351,Can some cylindrical shell drums have no drum heads?
352,Does every drumhead make the same sound?
353,Does every drumhead make the same sound?
354,Aren't drums usually played by the hands?
355,Are drums usually played by the hands?
356,Do many such drums have six to ten tension rods?
357,Is the electric eel a true eel?
358,Are most eels predators?
359,Is eel blood toxic to humans?
360,How many species of true eels are there?
361,How many species of true eels are there?
362,What types of fins do eels have?
363,What do leptocephali eat?
364,What do leptocephali eat?
365,Do all eels live in fresh water?
366,Is Finnish an official language of the European Union?
367,Are the dialects of Finnish divided into two groups?
368,Is Finnish threatened by English?
369,When did Proto-Uralic language arrive in Finland?
370,When did Proto-Uralic language arrive in Finland?
371,What are characteristic features of Finnish?
372,What are characteristic features of Finnish?
373,Where is the Kven language spoken?
374,Where is the Kven language spoken?
375,For how long has the classification of dialects spoken outside of Finland been a controversial issue?
376,For how long has the classification of dialects spoken outside of Finland been a controversial issue?
377,Who wrote the first novel in Finnish?
378,Who wrote the first novel in Finnish?
379,What book defined the official Finnish language?
380,What book defined the official Finnish language?
381,What is the earliest extant transverse flute?
382,What is the earliest extant transverse flute?
383,When does a flute produce sound?
384,When does a flute produce sound?
385,How can a flute's volume be increased?
386,How can a flute's volume be increased?
387,Do open-ended flutes have brighter timbres?
388,Do open-ended flutes have brighter timbres?
389,Where was the oldest flute ever discovered found?
390,Where was the oldest flute ever discovered found?
391,Are Western flutes simpler than Indian flutes?
392,Are Western flutes simpler than Indian flutes?
393,Why is a police whistle very wide for its pitch?
394,Why is a police whistle very wide for its pitch?
395,What are the two main varieties of Indian flutes?
396,Has the flute been dated to prehistoric times?
397,Has the flute been dated to prehistoric times?
398,Was the pan flute used in Greece?
399,Was the pan flute used in Greece?
400,Can a flute be played with several different air sources?
401,Can a flute be played with several different air sources?
402,When was the pan flute used in Greece?
403,When was the pan flute used in Greece?
404,When did concert flutes begin appearing in concert ensembles?
405,When did concert flutes begin appearing in concert ensembles?
406,How many main varieties of Indian flutes are currently used?
407,How many main varieties of Indian flutes are currently used?
408,What material is a chi flute fashioned from?
409,What material is a chi flute fashioned from?
410,How does a flute player change the pitch of the sound?
411,How does a flute player change the pitch of the sound?
412,What is the most basic form of the flute?
413,What is the most basic form of the flute?
414,Has the dragon historically served as China's national emblem?
415,Has the dragon historically served as China's national emblem?
416,Do pandas hibernate?
417,Do pandas hibernate?
418,Do giant pandas attack humans?
419,Do giant pandas attack humans?
420,What family is the panda a part of?
421,What family is the panda a part of?
422,How long does it take for the panda cubs skin to turn gray?
423,How long does it take for the panda cubs skin to turn gray?
424,How many different names did Chinese writings give to the panda?
425,How many different names did Chinese writings give to the panda?
426,What foods do pandas eat?
427,What are the two subspecies of giant pandas?
428,What is panda diplomacy?
429,What is panda diplomacy?
430,Is the Giant Panda a mammal?
431,Is the Giant Panda a mammal?
432,Is the Giant Panda a terrestrial animal?
433,Is the Giant Panda a terrestrial animal?
434,Is the Giant Panda an endangered species?
435,Is the Giant Panda an endangered species?
436,Where do Giant Pandas live?
437,When was the Giant Panda's genome sequenced?
438,When was the Giant Panda's genome sequenced?
439,How many subspecies of the Giant Panda are there?
440,How many subspecies of the Giant Panda are there?
441,Is the Giant Panda a carnivore?
442,Why is the Giant Panda an endangered species?
443,Why is the Giant Panda an endangered species?
444,Is the population of wild Giant  Pandas growing?
445,Is an acoustic guitar dependent on an external device?
446,Is an acoustic guitar dependent on an external device?
447,Is the battente smaller than a classical guitar?
448,Is the battente smaller than a classical guitar?
449,Is the flamenco guitar similar to the classical guitar?
450,Is the flamenco guitar similar to the classical guitar?
451,Where is the headstock located?
452,Where is the headstock located?
453,Whom are guitars made and repaired by?
454,Whom are guitars made and repaired by?
455,Why are Harp Guitars difficult to classify?
456,Why are Harp Guitars difficult to classify?
457,What is the bridge used for?
458,What is the bridge used for?
459,Which guitars use three single-coil pickups?
460,Which guitars use three single-coil pickups?
461,Is a guitar an instrument?
462,Is a guitar an instrument?
463,Can guitars be divided into two broad categories?
464,Can guitars be divided into two broad categories?
465,Do picks come in many shapes and sizes?
466,Do picks come in many shapes and sizes?
467,How many strings does a guitar typically have?
468,How many strings does a guitar typically have?
469,What is located at the end of the guitar neck furthest from the body?
470,What is located at the end of the guitar neck furthest from the body?
471,What are most electric guitar bodies made of?
472,What are most electric guitar bodies made of?
473,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?
474,Why do some people believe that left-handed people should learn to play guitars as right-handed people do?
475,What is the point called that is bolted or glued to the body of the guitar?
476,What is the point called that is bolted or glued to the body of the guitar?
477,Did Becquerel study science at the �cole des Ponts et Chauss�es?
478,Did he become chief engineer in the Department of Bridges and Highways in 1892?
479,Did he become chief engineer in the Department of Bridges and Highways in 1892?
480,Was Becquerel a French physicist?
481,Was Becquerel a French physicist?
482,Whom did he share the Nobel Prize with?
483,Whom did he share the Nobel Prize with?
484,When did he die?
485,When did he die?
486,What is the SI unit for radioactivity called?
487,What is the SI unit for radioactivity called?
488,Where are there craters named Becquerel?
489,Where are there craters named Becquerel?
490,Why did Bequerel win the Nobel Prize in Physics?
491,Why did Bequerel win the Nobel Prize in Physics?
492,Was Isaac Newton British?
493,Was Isaac Newton religious?
494,Did Isaac Newton die in 1898?
495,Where was Isaac Newton born?
496,Who shares credit with Isaac Newton for developing calculus?
497,Who shares credit with Isaac Newton for developing calculus?
498,When did Isaac Newton discover the generalized binomial theorem?
499,When did Isaac Newton discover the generalized binomial theorem?
500,Did the Occult influence Newton's theory of gravitation?
501,Were Newton's religious views consistent with Anglicanism?
502,Which fruit inspired Isaac Newton's theory of gravitation?
503,Which fruit inspired Isaac Newton's theory of gravitation?
504,Was Sir Isaac Newton an English physicist and mathematician?
505,Was Sir Isaac Newton an English physicist and mathematician?
506,Did he build the first practical reflecting telescope?
507,Where was Isaac Newton born?
508,Where was Isaac Newton born?
509,When was the Principia published?
510,When was the Principia published?
511,Where is there a Newton statue on display?
512,Where is there a Newton statue on display?
513,Where was Isaac Newton buried?
514,Where was Isaac Newton buried?
515,What religion did Isaac Newton follow?
516,What religion did Isaac Newton follow?
517,What food gave Isaac Newton clues to his theory of gravity?
518,What food gave Isaac Newton clues to his theory of gravity?
519,Who was a farmer and later a land surveyor for the government?
520,When were his papers donated by Lee Krasner?
521,Did Free Jazz feature a Pollock painting as its cover artwork?
522,Give an example of the origins of the term action painting. 
523,Is the Wisma building the tallest building in Indonesia?
524,is there a chinese community in jakarta?
525,is there a chinese community in jakarta?
526,Is Jakarta the 12th largest city in the world?
527,Is Jakarta the 12th largest city in the world?
528,What is the capital of Indonesia?
529,What is the capital of Indonesia?
530,What is the official name of Jakarta?
531,What is the official name of Jakarta?
532,How is the climate in the city?
533,How is the climate in the city?
534,Where does the name of the city Jakarta come from?
535,How is the city's governor chosen?
536,How is the city's governor chosen?
537,Why does Jakarta suffer frequent flooding?
538,Is the the biggest university in Jakarta the University of Indonesia
539,Is Jakarta a city
540,Is Jakarta a city
541,Is the most important river the Ciliwung River
542,Is the most important river the Ciliwung River
543,Where is Jakarta located
544,Where is Jakarta located
545,Who created Monas Park
546,Who created Monas Park
547,Do mikrolets travel on the main roads?
548,Do mikrolets travel on the main roads?
549,Did the economy improve in Jakarta in 2007
550,Did the economy improve in Jakarta in 2007
551,Who began control of migration to the city in order to stem the overcrowding and poverty?
552,Did Jayawikarta's soldiers attack the Dutch fortress?
553,Did Suharto resign as president?
554,Was the Jakarta area part of the fourth century Indianized kingdom of Tarumanagara?
555,Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?
556,Give an example of the many Sukarno era monuments in the city. 
557,Is James Watt French?
558,Did James Watt improve an engine?
559,Is there a statue of Watt in the White House?
560,When did Watt retire?
561,When did Watt retire?
562,Where is the James Watt Memorial College?
563,Where is the James Watt Memorial College?
564,Why is the watt named after Watt?
565,Why is the watt named after Watt?
566,Where did Watt attend university?
567,Where did Watt attend university?
568,Was James Watt a member of the Lunar Society?
569,Was James Watt a member of the Lunar Society?
570,Did James Watt marry his cousin?
571,Did James Watt marry his cousin?
572,Was Watt married to Agnes Muirhead?
573,Was Watt married to Agnes Muirhead?
574,How old was James Watt when his mother died?
575,How old was James Watt when his mother died?
576,In what year did Watt retire?
577,In what year did Watt retire?
578,Where was Watt buried?
579,Where was Watt buried?
580,When did Watt S10_set up his workshop at the University of Glasgow?
581,When did Watt S10_set up his workshop at the University of Glasgow?
582,Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?
583,Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?
584,How old was Watt when he died?
585,How old was Watt when he died?
586,What happened in the early 20th century?
587,Do Koalas have a slow metabolism?
588,Does the koala fill the same ecological role as the sloth of South America?
589,Is the long term viability of the koala therefore threatened by genetic weakness?
590,Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?
591,Is Korean the official language of Korea?
592,Is Korean the official language of Korea?
593,"Is the word ""Korean"" derived from Goryeo?"
594,"Is the word ""Korean"" derived from Goryeo?"
595,Are all dialects of Korean similar to each other?
596,Are all dialects of Korean similar to each other?
597,About how many Koreans speakers are there?
598,About how many Koreans speakers are there?
599,What is the official language of North Korea?
600,What is the official language of North Korea?
601,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?
602,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?
603,Where do the majority of loanwords other than Sino-Korean come from?
604,How many Korean speakers are there?
605,How many Korean speakers are there?
606,How many parts of speech does the Korean language contain?
607,How many parts of speech does the Korean language contain?
608,How many verb paradigms are there in Korean?
609,How many verb paradigms are there in Korean?
610,What is the Sino-Korean system of numbers based on?
611,What is the Sino-Korean system of numbers based on?
612,What is another term for Korean adjectives?
613,What is another term for Korean adjectives?
614,Is modern Korean written in columns or rows?
615,Is modern Korean written in columns or rows?
616,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?
617,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?
618,Do Chinese and Japanese have spaces between words?
619,From which languages is Korean descended?
620,Are there seven verb paradigms or speech levels in Korean?
621,Is Modern Korean written with spaces between words?
622,Are the Korean names for the language based on the names for Korea used in North as well as South Korea?
623,Is it not also one of the two official languages of the Yanbian Korean Autonomous Prefecture in China?
624,Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguists?
625,Is it also one of the two official languages in the Yanbian Korean Autonomous Prefecture in China?
626,Is Kuala Lumpur the capitol of Malaysia? disfluent
627,Is Kuala Lumpur the capitol of Malaysia? disfluent
628,Is Kuala Lumpur in the Selangor state?
629,Is Kuala Lumpur in the Selangor state?
630,What's the population of Kuala lumpur?
631,What's the population of Kuala lumpur?
632,What language do they speak in Kuala Lumpur?
633,What language do they speak in Kuala Lumpur?
634,"What does the name ""Kuala Lumpur"" mean?"
635,What airports does Kuala Lumpur have?
636,What airports does Kuala Lumpur have?
637,How long was Kuala Lumpur occupied by the Japanese?
638,How long was Kuala Lumpur occupied by the Japanese?
639,How many seasons does Kuala Lumpur experience?
640,How many seasons does Kuala Lumpur experience?
641,When were the colonial buildings in Kuala Lumpur constructed?
642,When were the colonial buildings in Kuala Lumpur constructed?
643,Is it a host city for the Formula One World Championship?
644,Is it a host city for the Formula One World Championship?
645,is the central market located in the proximity of the pertama complex?
646,is the central market located in the proximity of the pertama complex?
647,is it home to the parliament of malaysia?
648,is it home to the parliament of malaysia?
649,when did kuala lumpur become a federal territory of malaysia?
650,What is the city's population?
651,What is the city's population?
652,What is the official religion in the country?
653,What is the official religion in the country?
654,Is there a more industrialized region in malaysia?
655,Is there a more industrialized region in malaysia?
656,what is the name of the event that draws the worlds top riders to malaysia?
657,what is the name of the event that draws the worlds top riders to malaysia?
658,Wasn't Leonardo da Vinci valued as an engineer?
659,Who left Verroccio's studio?
660,When did he flee to Venice?
661,Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?
662,Are lobsters invertebrates?
663,Are lobsters invertebrates?
664,Are lobsters kosher?
665,Are lobsters kosher?
666,Do lobsters have blue blood?
667,Do lobsters have blue blood?
668,How many legs do lobsters have?
669,How many legs do lobsters have?
670,Where are lobsters found?
671,Where are lobsters found?
672,What is the mean level of mercury in American lobsters?
673,What is the mean level of mercury in American lobsters?
674,Do lobsters feel pain?
675,Do lobsters feel pain?
676,Did the Moche people worship lobsters?
677,Did the Moche people worship lobsters?
678,What is the caridoid escape reaction?
679,What is the caridoid escape reaction?
680,Were the recitations of the Ancient Greeks accompanied by lyre playing?
681,Were the recitations of the Ancient Greeks accompanied by lyre playing?
682,Does a classical lyre have a hollow body?
683,Does a classical lyre have a hollow body?
684,Is the lyre a stringed musical instrument?
685,Is the lyre a stringed musical instrument?
686,Which constellation is said to resemble a lyre shape?
687,Which constellation is said to resemble a lyre shape?
688,How many raised arms are extending from the sound-chest of a classical lyre?
689,How many raised arms are extending from the sound-chest of a classical lyre?
690,What were the strings of a classical lyre made of?
691,What were the strings of a classical lyre made of?
692,Is the foot pedal framework for a piano called a lyre?
693,Is the foot pedal framework for a piano called a lyre?
694,Where was the deepest note of the classical lyre in relation to the player's body?
695,Where was the deepest note of the classical lyre in relation to the player's body?
696,Does a standard piano have fewer strings than a harp?
697,Does a standard piano have fewer strings than a harp?
698,Is Malay the official language of Iraq?
699,Could Malay have originated from Sumatra island?
700,Is Malay an agglutinative language?
701,Is Malay an agglutinative language?
702,What family is Malay a member of?
703,What family is Malay a member of?
704,What is the basic word order in Malay?
705,What is the basic word order in Malay?
706,Are there many words in Malay that use natural gender?
707,How are new words formed in Malay?
708,Is Malay in the Austronesian family of languages?
709,Is Malay in the Austronesian family of languages?
710,Is Malay an agglutinative language?
711,Is Malay an agglutinative language?
712,Is there one negation word in Malay?
713,Is there one negation word in Malay?
714,How many parts of speech are there in Malay?
715,How many parts of speech are there in Malay?
716,What is the basic word order in Malay?
717,What is the basic word order in Malay?
718,What is the national language in Malaysia?
719,What is the national language in Malaysia?
720,Do linguists consider Malay to be a single language?
721,Do linguists consider Malay to be a single language?
722,Can speakers of modern Malay understand Old Malay?
