,Question,Answer,option2,option4,option3
146,Hassan Massoudy is a master of what genre?,Hassan Massoudy,all,0,ALL
147,Hassan Massoudy is a master of what genre?,Arabic calligraphy,both a and c,2,Yes
148,Is Berlin the capital city of Germany?,Berlin is the capital city of Germany.,all,0,TRUE
149,Is Berlin the capital city of Germany?,yes,both a and c,20,FLASE
150,Is Berlin the largest city in Germany?,Berlin is Germany's largest city.,both a and c,2001,TRUE
151,Is Berlin the largest city in Germany?,yes,both a and b,Google,ALL
152,Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. ,both a and c,2001,2
153,Is Schloss Charlottenburg the largest existing palace in Berlin?,yes,both c and b,1670,Yes
154,Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. ,both c and b,Yes,FLASE
155,Which building is the site of the German parliament?,The Reichstag building,both c and b,FLASE,Happy
156,Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final. ,both c and b,Github,No
157,Which two sports events did the Olympiastadion host?,the 1936 Summer Olympics and the 2006 FIFA World Cup final,all,FLASE,20
158,Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.,both a and b,Google,No
159,Where is the Berliner Dom located?,on the Spree Island,None of above,ALL,FLASE
160,Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.,all,Yes,FLASE
161,Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building,both a and b,No,2
162,What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.,both c and b,Github,Happy
163,What are the names of the two zoos in Berlin?,Zoologischer Garten Berlin and Tierpark Friedrichsfelde,both a and c,FLASE,No
164,Is Berlin the headquarters of Springer?,,both a and b,2001,Happy
165,Does the Gendarmenmarkt border the French Cathedral?,,all,No,ALL
166,Is the Nauen plain north of Berlin?,,all,2,TRUE
167,Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.,both c and b,2001,FLASE
168,Where is the bust of Queen Nefertiti?,,both a and c,Google,No
169,Where does the German President live?,,both c and b,Google,FLASE
170,When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.,None of above,2001,TRUE
171,When did Berlin give up its status as a free Hanseatic city?,,all,Happy,2
172,Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.,both a and c,0.5,FLASE
173,Which is the busiest airport in Berlin?,,None of above,2,20
174,How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.,both a and b,0,ALL
175,How many occupation zones was Germany divided into after the war?,,all,0.5,20
176,Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin.,None of above,Yes,No
177,Where was Popkomm held before moving to Berlin?,,None of above,Github,2
178,Who was Blaise Pascal's father?,Étienne Pascal.,both c and b,0.5,No
179,Was Pascal a French mathematician?,yes,both a and b,FLASE,FLASE
180,Was Pascal a French mathematician?,Yes.,all,FLASE,2
181,Did Pascal have poor health throughout his life?,yes,None of above,Happy,Happy
182,Did Pascal have poor health throughout his life?,Yes.,None of above,maybe,FLASE
183,How old was Pascal when he lost his mother?,at the age of three,None of above,FLASE,20
184,How old was Pascal when he lost his mother?,3.,both a and b,FLASE,No
185,Who was Pascal's younger sister?,Jacqueline,all,TRUE,20
186,Who was Pascal's younger sister?,Jacqueline.,both a and c,Github,FLASE
187,What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism,both a and b,Google,No
188,What led Pascal to his religious conversion?,sickness and Jansenism,both c and b,0.5,No
189,How old was Pascal when he died?,39,None of above,help me,FLASE
190,How old was Pascal when he died?,1662-08-19.,both a and b,20,2
191,Did Pascal write about cycloid before 1658?,no,None of above,ALL,Yes
192,Is there a programming language called Pascal?,yes,both c and b,2001,ALL
193,Is there a programming language called Pascal?,Yes.,all,No,ALL
194,Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris,both a and c,2,Happy
195,Who died the next morning?,Pascal.,None of above,Legend,2
196,When did his father die?,1651,both a and b,Legend,No
197,When did his father die?,His father died in 1651.,all,Github,ALL
198,Did Pascal also write in defense of the scientific method?,Yes,both c and b,FLASE,2
199,Do butterflies make sounds?,Some butterflies make sounds.,both a and b,0,TRUE
200,Do butterflies make sounds?,,None of above,1670,Happy
201,Do butterflies have two eyes?,,all,No,2
202,Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.,both a and c,Yes,FLASE
203,Does a black moth mean that someone has died?,,all,maybe,ALL
204,What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.,both a and c,Legend,TRUE
205,What is the outer layer of the cuticle made of?,,all,Github,No
206,Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.,both a and c,Happy,2
207,Where was there a vast swarm of butterflies?,,None of above,FLASE,2
208,What butterfly is migratory?,The Monarch butterfly is migratory.,both c and b,maybe,FLASE
209,What butterfly is migratory?,,None of above,0.5,2
210,Do butterflies carry more pollen than Hymenoptera?,,both c and b,Happy,ALL
211,What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.,all,No,TRUE
212,What allows the butterfly to evade predators?,,both a and c,No,Yes
213,What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.,all,TRUE,Yes
214,What happens if a wing is removed?,,both a and c,FLASE,TRUE
215,,,both a and b,Yes,TRUE
216,,,both a and c,Legend,Happy
217,,,all,No,2
218,,,all,0.5,TRUE
219,,,both c and b,2001,Happy
220,,,both a and b,1670,20
221,,,both a and b,ALL,2
222,,,both a and c,No,No
223,,,both a and b,No,Yes
224,Was Charles-Augustin de Coulomb a Spanish Biologist?,No.,None of above,Happy,Happy
225,Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.,both c and b,20,ALL
226,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.,None of above,Happy,Happy
227,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,both a and c,2,ALL
228,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,all,Happy,20
229,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.,both a and b,20,No
230,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.,both a and c,2,FLASE
231,When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.,both a and b,No,20
232,Did Charles-Augustin de Coulomb come from a poor family?,No.,both a and c,0.5,2
233,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,all,FLASE,Happy
234,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,both a and b,1670,2
235,Where is Coll�ge des Quatre-Nations located?,In Montpellier.,both a and b,TRUE,2
236,Where is Coll�ge des Quatre-Nations located?,In Paris.,both c and b,20,Happy
237,What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism,all,2001,TRUE
238,What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.,all,Yes,No
239,Who determined to pursue mathematics?,Charles-Augustin de Coulomb,both a and c,Happy,20
240,When did Coulomb return to Paris?,In 1759.,all,Happy,Happy
241,Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes,both c and b,help me,ALL
242,Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes,both a and b,0.5,Yes
243,Are all spoken varieties of Chinese tonal and analytical?,yes,all,0.5,ALL
244,Are all spoken varieties of Chinese tonal and analytical?,yes,both a and c,ALL,ALL
245,Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes,both a and b,TRUE,TRUE
246,Is fifty percent or more of Korean vocabulary of Chinese origin?,yes,both a and c,2001,ALL
247,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes,all,20,2
248,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",yes,all,Google,Yes
249,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,both c and b,Github,TRUE
250,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,all,2001,2
251,What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters,all,Yes,FLASE
252,How is South China linguistically different from North China?,South China displays more linguistic diversity,both a and c,2,Yes
253,&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?,Japanese,both a and c,help me,No
254,&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?,Chinese,None of above,20,TRUE
255,What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.,both a and b,help me,20
256,What is the standardized form of spoken chinese?,The standardized from of spoken Chinese is Standard Mandarin.,both c and b,Yes,ALL
257,When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.,both a and b,help me,FLASE
258,When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE.,both c and b,Legend,Yes
259,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.,both c and b,0.5,TRUE
260,When was Middle Chinese used?,Middle Chinese was the language used in the 6th through 1-th centuries CE.,both a and c,2001,TRUE
261,How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.,both c and b,TRUE,No
262,How is the pronunciation of foreign words determined?,Foreign words are transliterated into close-match existing Chinese morphemes.,both a and c,Google,TRUE
263,What language was used in the Zhou and Southern Dynasties?,Old Chinese was the language common during the early and middle Zhou Dynasty.,all,20,2
264,Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.,both c and b,2001,FLASE
265,Is a cougar also known as a mountain lion?,yes,both a and c,help me,FLASE
266,Are cougars larger than jaguars?,Cougars are not larger than jaguars.,both a and b,Github,2
267,Are cougars larger than jaguars?,no,both c and b,maybe,20
268,"Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species.",both a and c,Github,No
269,"Does the World Conservation Union consider the cougar a ""least concern"" species?",yes,both c and b,help me,Yes
270,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,both a and b,Yes,Yes
271,How long are cougar adult males (from nose to tail)?,2.4 meters,None of above,Google,ALL
272,How long is an adult cougar's paw print?,An adult cougar's paw print is approximately 10 cm (4 inches) long.,both a and b,ALL,20
273,How long is an adult cougar's paw print?,4 inches,both c and b,Happy,ALL
274,Is one of the parts of a cymbal called a disc?,no,both a and c,TRUE,2
275,Is one of the parts of a cymbal called a disc?,,both a and c,ALL,Happy
276,Are ride cymbals very common?,yes,both c and b,Happy,FLASE
277,Are ride cymbals very common?,,both c and b,Yes,ALL
278,Does Fender make cymbals?,no,both c and b,0,No
279,Does Fender make cymbals?,,None of above,FLASE,No
280,What part of the cymbal is the bell?,The center of a Cymbal,both a and c,help me,ALL
281,What part of the cymbal is the bell?,,all,Github,FLASE
282,What's the timber of ancient cimbals like? disfluent,like that of small hand-bells or of the notes of the keyed harmonica,None of above,help me,Happy
283,What's the timber of ancient cimbals like? disfluent,,all,2,FLASE
284,What does it sound like to play cymbals with a cello bow?,squealing car brakes,all,1670,Yes
285,What does it sound like to play cymbals with a cello bow?,,both a and c,0.5,Happy
286,What are cymbals made of?,brass,None of above,Legend,TRUE
287,What are cymbals made of?,,all,maybe,ALL
288,How many cymbals typically go in a drum kit?,at least 3,both c and b,help me,Yes
289,How many cymbals typically go in a drum kit?,,None of above,Yes,ALL
290,What kinds of musical groups use cymbals?,,both c and b,1670,2
291,,,both a and b,Happy,2
292,,,None of above,20,20
293,,,both a and b,2001,Yes
294,,,all,2001,Happy
295,,,both a and c,2,TRUE
296,,,None of above,TRUE,Yes
297,,,both a and b,Happy,ALL
298,,,None of above,Yes,Yes
299,,,all,Happy,ALL
300,Are dragonflies capable of walking?,,both a and b,Google,20
301,Are dragonflies capable of walking?,,both a and c,1670,TRUE
302,Do dragonfly nymphs ever hunt on land?,,both a and b,ALL,FLASE
303,Do dragonfly nymphs ever hunt on land?,,None of above,2001,ALL
304,Do dragonflies spend most of their lives in their adult form?,,both a and b,0.5,Yes
305,Do dragonflies spend most of their lives in their adult form?,,None of above,Google,Yes
306,What are dragonfly larvae known as?,,both a and b,Yes,FLASE
307,What are dragonfly larvae known as?,,all,20,FLASE
308,On what continent have dragonflies often been seen as sinister?,,None of above,Google,2
309,On what continent have dragonflies often been seen as sinister?,,both c and b,2001,20
310,In how many directions can the adult dragonfly propel itself?,,both a and b,Google,Happy
311,In how many directions can the adult dragonfly propel itself?,,None of above,Github,TRUE
312,What is the hobby of seeking out dragonflies and damselflies called?,,None of above,Google,TRUE
313,What is the hobby of seeking out dragonflies and damselflies called?,,both c and b,20,FLASE
314,In what country are dragonflies used as a food source?,,both a and b,20,TRUE
315,In what country are dragonflies used as a food source?,,None of above,20,20
316,Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,,both c and b,help me,FLASE
317,Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?,,both a and b,2001,20
318,Is the dragonfly associated with late summer as well as early autumn?,Yes,both a and b,0.5,No
319,Does Exposure to air cause the larva to begin breathing?,Yes (capitalization).,both c and b,20,No
320,Is the drum a member of the percussion group?,yes,both a and b,Yes,Yes
321,Is the drum a member of the percussion group?,yes,all,20,Yes
322,Does each type of drum head serve its own musical purpose?,yes,both c and b,Happy,ALL
323,Does each type of drum head serve its own musical purpose?,yes,None of above,2001,ALL
324,Is the Aburukuwa a type of drum?,yes,both a and b,0.5,20
325,Is the Aburukuwa a type of drum?,yes,both c and b,FLASE,Yes
326,How long has the basic design of the drum remained unchanged?,remained virtually unchanged for thousands of years,both a and b,2,20
327,How long has the basic design of the drum remained unchanged?,thousands of years,both a and c,ALL,Yes
328,What is the second biggest factor affecting the sound produced by a drum?,tension,both a and b,ALL,2
329,What is the second biggest factor affecting the sound produced by a drum?,the tension at which the drum head is held against the shell of the drum.,None of above,ALL,Yes
330,By what name are drums classified as under the percussion group?,membranophone,both c and b,No,20
331,By what name are drums classified as under the percussion group?,membranous,None of above,20,Yes
332,How do rock and roll drummers like their drumheads?,rock and roll drummer may prefer drums that sound loud and deep,None of above,Happy,2
333,How do rock and roll drummers like their drumheads?,drums that sound loud and deep,both a and c,FLASE,Yes
334,Whare is the name for drums that have a S10_set of wires held across some of all of the drum heads?,snares,all,Happy,ALL
335,Had the drums been used in Sri Lanka since Before Christ?,yes,None of above,20,Happy
336,Had the drums been used in Sri Lanka since Before Christ?,yes,both a and c,Github,20
337,Is the drum a member of the percussion group?,yes,both a and c,2001,ALL
338,Is the drum a member of the percussion group?,yes,both c and b,Yes,2
339,Are drums often used in music therapy?,yes,both c and b,Yes,ALL
340,Are drums often used in music therapy?,yes,both a and c,FLASE,ALL
341,Do drums consist of at least eight membranes?,no,both c and b,TRUE,Yes
342,Do drums consist of at least eight membranes?,no,all,0,FLASE
343,What has the most effect on how a drum sounds?,the drumhead,all,0,ALL
344,What has the most effect on how a drum sounds?,the drumhead,both a and c,No,TRUE
345,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio,both a and b,Happy,2
346,Who constructed a kit using diatonic and chromatically tuned drums?,Terry Bozzio,all,2,Yes
347,Drums are usually played by what?,the hands,both c and b,No,Happy
348,Has the design of drums changed recently?,no,both a and c,2,No
349,Has the design of drums changed recently?,no,all,0.5,FLASE
350,Can some cylindrical shell drums have no drum heads?,no,all,20,2
351,Can some cylindrical shell drums have no drum heads?,no,all,Google,20
352,Does every drumhead make the same sound?,no,both a and b,2001,No
353,Does every drumhead make the same sound?,no,both a and c,2001,No
354,Aren't drums usually played by the hands?,Yes.,both a and c,maybe,20
355,Are drums usually played by the hands?,Yes,None of above,Github,20
356,Do many such drums have six to ten tension rods?,Yes.,both a and c,1670,Happy
357,Is the electric eel a true eel?,No,both a and b,maybe,ALL
358,Are most eels predators?,Yes,None of above,0,Yes
