Theme,Image_Url,Quote,Quote_Url
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/7827/medium/20220809_tuesday_quote.jpg,"Although time seems to fly by, it never travels faster than one day at a time",/inspirational-quotes/7827-although-time-seems-to-fly-by-it-never-travels
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/7065/medium/20220808_monday_quote.jpg,Every great dream begins with a dreamer,/inspirational-quotes/7065-every-great-dream-begins-with-a-dreamer
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/6508/medium/20220805_friday_quote.jpg,"Confidence comes not from always being right, but from not fearing to be wrong",/inspirational-quotes/6508-confidence-comes-not-from-always-being-right
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7587/medium/20220804_thursday_quote.jpg,"Each time we face our fear, we gain strength, courage and confidence in the doing",/inspirational-quotes/7587-each-time-we-face-our-fear-we-gain-strength
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7748/medium/20220803_wednesday_quote.jpg,Happiness and confidence are the prettiest things you can wear,/inspirational-quotes/7748-happiness-and-confidence-are-the-prettiest
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7673/medium/20220802_tuesday_quote.jpg,Education breeds confidence,/inspirational-quotes/7673-education-breeds-confidence
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7921/medium/20220801_monday_quote.jpg,Be humble in your confidence yet courageous in your character,/inspirational-quotes/7921-be-humble-in-your-confidence-yet-courageous-in
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/5990/medium/20220729_friday_quote.jpg,Do your little bit of good where you are; its those little bits of good put together that overwhelm the world,/inspirational-quotes/5990-do-your-little-bit-of-good-where-you-are-its
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/7491/medium/20220728_thursday_quote.jpg,"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees",/inspirational-quotes/7491-a-single-act-of-kindness-throws-out-roots-in
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/4471/medium/20220727_wednesday_quote.jpg,We rise by lifting others,/inspirational-quotes/4471-we-rise-by-lifting-others
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8014/medium/20220726_tuesday_quote.jpg,"To achieve a kinder world, we must approach kindness with ambition and dedication",/inspirational-quotes/8014-to-achieve-a-kinder-world-we-must-approach
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8349/medium/20220725_monday_quote.jpg,How do we change the world? One random act of kindness at a time,/inspirational-quotes/8349-how-do-we-change-the-world-one-random-act-of
